📡中国 👉酷,#genre#
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV-13,http://devlivepull.migucloud.com/live/3S6PAWLT_C0.flv
CCTV-13,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8

凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8$春盈专线
凤凰中文,http://180.97.247.27/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/2300.m3u8$春盈1080窄
凤凰中文,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52003/index.m3u8$春盈1080窄
凤凰中文,http://111.20.40.166:80/PLTV/88888893/224/3221226547/index.m3u8$春盈0720窄

凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8$春盈专线
凤凰资讯,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8$春盈1080窄
凤凰资讯,http://180.97.247.27/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8$春盈0720窄
凤凰资讯,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8$春盈0720窄
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MD8D9734527497345274&ct=19249&tsum=88c5d57f9fdce89810d61e1001910a80
凤凰香港,http://php.17186.eu.org/phtv/fhhk.m3u8
凤凰香港,http://qctv.fengshows.cn/live/0701phk48.flv?txSecret=a1d97bbbefc7773590e50f5e2941b762&txTime=65505d21
HOY資訊,https://pull-f5-spe.ixigua.com/live/YesLiveTV-3e9f20e4-e6fd-4292-ac7a-3180610b1edd/index.m3u8?by=yeslivetv.com
无线财经,http://r.jdshipin.com/jUx8K
高清翡翠,http://r.jdshipin.com/62WM7
高清翡翠,http://r.jdshipin.com/qClQf
高清翡翠,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
j2高清台,http://r.jdshipin.com/Nr5jq
j2高清台,http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
TVB明珠,http://198.16.100.90:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad
